tradingview_symbol,symbol,name_en,name_th,market,industry,sector
SET:IND,IND,INDEX INTERNATIONAL GROUP PUBLIC COMPANY LIMITED,บริษัท อินเด็กซ์ อินเตอร์เนชั่นแนล กรุ๊ป จำกัด (มหาชน),mai,Property & Construction,-
SET:IRCP,IRCP,"INTERNATIONAL RESEARCH CORPORATION PUBLIC CO., LTD.",บริษัท อินเตอร์เนชั่นแนล รีเสริช คอร์ปอเรชั่น จำกัด (มหาชน),mai,Technology,-
SET:IROYAL,IROYAL,Interroyal Engineering Public Company Limited,บริษัท อินเตอร์รอแยล เอ็นจิเนียริ่ง จำกัด (มหาชน),mai,Services,-
SET:ITNS,ITNS,INTERNATIONAL NETWORK SYSTEM PUBLIC COMPANY LIMITED,บริษัท อินเตอร์เนชั่นแนล เน็ตเวิร์ค ซิสเต็ม จำกัด (มหาชน),mai,Technology,-
SET:ITTHI,ITTHI,ITTHIRIT NICE CORPORATION PUBLIC COMPANY LIMITED,บริษัท อิทธิฤทธิ์ ไนซ์ คอร์ปอเรชั่น จำกัด (มหาชน),mai,Consumer Products,-
SET:IVF,IVF,INSPIRE IVF Public Company Limited,บริษัท อินสไปร์ ไอวีเอฟ จำกัด (มหาชน),mai,Services,-
SET:JAK,JAK,JAKPAISAN ESTATE PUBLIC COMPANY LIMITED,บริษัท จักรไพศาล เอสเตท จำกัด (มหาชน),mai,Property & Construction,-
SET:JPARK,JPARK,JENKONGKLAI PUBLIC COMPANY LIMITED,บริษัท เจนก้องไกล จำกัด (มหาชน),mai,Services,-
SET:JSP,JSP,JSP PHARMACEUTICAL MANUFACTURING (THAILAND) PUBLIC COMPANY LIMITED,บริษัท โรงงานเภสัชอุตสาหกรรม เจเอสพี (ประเทศไทย) จำกัด (มหาชน),mai,Consumer Products,-
SET:JUBILE,JUBILE,JUBILEE ENTERPRISE PUBLIC COMPANY LIMITED,บริษัท ยูบิลลี่ เอ็นเตอร์ไพรส์ จำกัด (มหาชน),mai,Consumer Products,-
SET:K,K,KINGSMEN C.M.T.I. PUBLIC COMPANY LIMITED,บริษัท คิงส์เมน ซี.เอ็ม.ที.ไอ. จำกัด (มหาชน),mai,Services,-
SET:KASET,KASET,THAI HA PUBLIC COMPANY LIMITED,บริษัท ไทยฮา จำกัด (มหาชน),mai,Agro & Food Industry,-
SET:KCC,KCC,Knight Club Capital Holding Public Company Limited,บริษัท ไนท คลับ แคปปิตอล โฮลดิ้ง จำกัด (มหาชน),mai,Financials,-
SET:KCM,KCM,K.C. METALSHEET PUBLIC COMPANY LIMITED,บริษัท เค.ซี.เมททอลชีท จำกัด (มหาชน),mai,Industrial,-
SET:KGEN,KGEN,KING GEN PUBLIC COMPANY LIMITED,บริษัท คิง เจน จำกัด (มหาชน),mai,Services,-
SET:KJL,KJL,KIJCHAROEN ENGINEERING ELECTRIC PUBLIC COMPANY LIMITED,บริษัท กิจเจริญ เอ็นจิเนียริ่ง อีเลคทริค จำกัด (มหาชน),mai,Industrial,-
SET:KK,KK,K&K SUPERSTORE SOUTHERN PUBLIC COMPANY LIMITED,บริษัท เคแอนด์เค ซุปเปอร์สโตร์ เซาท์เทิร์น จำกัด (มหาชน),mai,Services,-
SET:KOOL,KOOL,CL VENTURE PUBLIC COMPANY LIMITED,บริษัท ซีแอล เวนเจอร์ จำกัด (มหาชน),mai,Services,-
SET:KTMS,KTMS,KT Medical Service Public Company Limited,บริษัท เคที เมดิคอล เซอร์วิส จำกัด (มหาชน),mai,Services,-
SET:KUMWEL,KUMWEL,KUMWELL CORPORATION PUBLIC COMPANY LIMITED,บริษัท คัมเวล คอร์ปอเรชั่น จำกัด (มหาชน),mai,Industrial,-
SET:KWM,KWM,K. W. METAL WORK PUBLIC COMPANY LIMITED,บริษัท เค. ดับบลิว. เม็ททัล เวิร์ค จำกัด (มหาชน),mai,Industrial,-
SET:LDC,LDC,LDC DENTAL PUBLIC COMPANY LIMITED,บริษัท แอลดีซี เด็นทัล จำกัด (มหาชน),mai,Services,-
SET:LEO,LEO,LEO GLOBAL LOGISTICS PUBLIC COMPANY LIMITED,บริษัท ลีโอ โกลบอล โลจิสติกส์ จำกัด (มหาชน),mai,Services,-
SET:LIT,LIT,LEASE IT PUBLIC COMPANY LIMITED,บริษัท ลีซ อิท จำกัด (มหาชน),mai,Financials,-
SET:LTMH,LTMH,LTMH Public Company Limited,บริษัท แอลทีเอ็มเอช จำกัด (มหาชน),mai,Services,-
SET:LTS,LTS,Light Up Total Solution Public Company Limited,บริษัท ไลท์อัพ โทเทิล โซลูชั่น จำกัด (มหาชน),mai,Consumer Products,-
SET:MAGURO,MAGURO,Maguro Group Public Company Limited,บริษัท มากุโระ กรุ๊ป จำกัด (มหาชน),mai,Agro & Food Industry,-
SET:MBAX,MBAX,MULTIBAX PUBLIC COMPANY LIMITED,บริษัท มัลติแบกซ์ จำกัด (มหาชน),mai,Industrial,-
